Purchases,Country,Name,GenreId
9,Argentina,Alternative & Punk,4
9,Argentina,Rock,1
22,Australia,Rock,1
15,Austria,Rock,1
21,Belgium,Rock,1
81,Brazil,Rock,1
107,Canada,Rock,1
9,Chile,Rock,1
25,Czech Republic,Rock,1
21,Denmark,Rock,1
18,Finland,Rock,1
65,France,Rock,1
62,Germany,Rock,1
11,Hungary,Rock,1
25,India,Rock,1
12,Ireland,Rock,1
18,Italy,Rock,1
18,Netherlands,Rock,1
17,Norway,Rock,1
22,Poland,Rock,1
31,Portugal,Rock,1
22,Spain,Rock,1
12,Sweden,Latin,7
157,USA,Rock,1
37,United Kingdom,Rock,1
